CollectorVerbatim	Standarized_Collector
Hoyos-R., M.A.	Hoyos-R., M.A.
Huertas-C., M.F.	Huertas-C., M.F.
Huertas-Camargo	Huertas Gonzalez, Gustavo
Huertas-P., G.	Huertas-P., G.
Humbert, H.	Humbert, H.
Humboldt, A.	Humboldt, F.W.H.A. von
Humboldt, F.W.H.A. von	Humboldt, F.W.H.A. von
Hunziker, J.H.	Hunziker, J.H.
Hurtado, B.	Hurtado, B.
Hurtado, H.	Hurtado, H.
Ibañez, M.	Ibañez, M.
Idrobo, J.	Idrobo, José. María
Idrobo, J. M.	Idrobo, José. María
Idrobo, J.M.	Idrobo, José. María
Iglesias, M.C.	Iglesias, M.C.
Instituto de La Salle	Instituto de La Salle
Instituto de Parcelaciones	Instituto de Parcelaciones
Instituto Zooprofiláctico	Instituto Zooprofiláctico
Isaza-M., J.H.	Isaza-Martínez, J.H.
Isaza-Martínez, J.H.	Isaza-Martínez, J.H.
Isaza, J.	Isaza, J.
Isaza, L.	Isaza, L.
Jácome, J.	Jácome-Reyes, Jorge H.
Jácome, Jorge	Jácome-Reyes, Jorge H.
Jaillier, G.	Jaillier, G.
Jaime Bermudez	Bermúdez, Jaime
Jaimes-Sánchez, Vilma	Jaimes-Sánchez, Vilma
Jaimes, Vilma	Jaimes-Sánchez, Vilma
Jara-Muñoz, A.	Jara-Muñoz, Adolfo
Jara, A.	Jara-Muñoz, Adolfo
Jara, Adolfo	Jara, Adolfo
Jaramillo	Jaramillo
Jaramillo-Berrio, G.	Jaramillo-Berrio, G.
Jaramillo-Mejía, R.	Jaramillo-Mejía, R.
Jaramillo, J.	Jaramillo, J.
Jaramillo, M.	Jaramillo, M.
Jaramillo, R.	Jaramillo, R.
Jaramillo, S.	Jaramillo, S.
Jiménez-A., A.	Jiménez-A., A.
Jiménez-A., B.	Jiménez-A., B.
Jiménez-Arango	Jiménez-Arango, A.
Jiménez-Arango, A.	Jiménez-Arango, A.
Jiménez-Cadena, G.	Jiménez-Cadena, G.
Jiménez-Ordóñez, J.	Jiménez-Ordóñez, J.
